sep=\t
Module Resource Usage Distribution Estimates
Generated at: May 07, 2026 11:39:37

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	       FFs	      SRLs	      ADDs	      LUTs	    COMB4s	      RAMs	 DSP/MULTs
      +async_clk.wr2rd_addr_sync:efx_asyncreg_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=5,ACTIVE_LOW=0,OFF_ASSERTION=1)	     6(6)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
      +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb	     0(0)	     0(0)	     0(0)	     2(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=4)	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	     0(0)	     0(0)	
   +calibration_block.hbram_cal_top_inst:hbram_cal_controller_top_2d715ebddfec4a2289c485ca66dd30eb(CAL_MODE=2,CAL_BYTES=100,RAM_ABW=24,CFG_CR0=16'b1000111100101111,CFG_CR1=16'b1111111111000001,CR0W_CA=48'b010000000001100000,CR1W_CA=48'b010000000000000000000000010000000001100000,DQIN_MODE="RESYNC",TCYC=5000,DUAL_RAM=0,INDIVI_DUAL_CAL=0,ONE_SEC=200000000,RECAL_DAYS=7,RWDS_OUT_MODE=1)	   357(1)	     0(0)	    89(0)	   488(1)	     0(0)	     1(0)	     0(0)	
    +hbram_cal_ctrl_inst:hbram_cal_ctrl_2d715ebddfec4a2289c485ca66dd30eb(CAL_MODE=2,RAM_ABW=24,CFG_CR0=16'b1000111100101111,CFG_CR1=16'b1111111111000001,CR0W_CA=48'b010000000001100000,CR1W_CA=48'b010000000000000000000000010000000001100000,TCYC=5000,DUAL_RAM=0,INDIVI_DUAL_CAL=0,RWDS_OUT_MODE=1)	 226(163)	     0(0)	   65(60)	 268(241)	     0(0)	     1(0)	     0(0)	
     +fail_safe_sync:efx_asyncreg_2d715ebddfec4a2289c485ca66dd30eb(ASYNC_STAGE=8,WIDTH=1)	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
     +fifo_rden_block.genblk1.rd_data_fifo:efx_fifo_top_2d715ebddfec4a2289c485ca66dd30eb(DEPTH=16,DATA_WIDTH=16,PROGRAMMABLE_FULL="NONE",PROGRAMMABLE_EMPTY="NONE",UNDERFLOW_PROTECT=0)	    55(0)	     0(0)	     5(0)	    27(0)	     0(0)	     1(0)	     0(0)	
      +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_2d715ebddfec4a2289c485ca66dd30eb(ACTIVE_LOW=0)	     2(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
       +active_high.efx_resetsync_active_high:efx_asyncreg_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	     2(2)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
      +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_2d715ebddfec4a2289c485ca66dd30eb(ACTIVE_LOW=0)	     2(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
       +active_high.efx_resetsync_active_high:efx_asyncreg_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	     2(2)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_2d715ebddfec4a2289c485ca66dd30eb(WR_DEPTH=16,RD_DEPTH=16,WDATA_WIDTH=16,RDATA_WIDTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_2d715ebddfec4a2289c485ca66dd30eb(SYNC_CLK=0,WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,PROG_FULL_ASSERT=27,PROG_FULL_NEGATE=23,PROG_EMPTY_ASSERT=5,PROG_EMPTY_NEGATE=7,OVERFLOW_PROTECT=1)	   51(31)	     0(0)	     5(5)	   27(12)	     0(0)	     0(0)	     0(0)	
       +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_2d715ebddfec4a2289c485ca66dd30eb	     0(0)	     0(0)	     0(0)	     4(4)	     0(0)	     0(0)	     0(0)	
       +async_clk.xrd2wr_addr_sync:efx_asyncreg_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=5,ACTIVE_LOW=0,OFF_ASSERTION=1)	   10(10)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
       +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb	     0(0)	     0(0)	     0(0)	     4(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=4)	     0(0)	     0(0)	     0(0)	     3(1)	     0(0)	     0(0)	     0(0)	
